time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-19T05:23:55.868Z,-32.4199,-71.7603,35.975,4.6,mwr,45,133,0.609,0.82,us,us7000iqx7,2022-11-20T00:25:20.918Z,"49 km W of La Ligua, Chile",earthquake,2.31,5.998,0.038,65,reviewed,us,us
2022-11-19T02:18:22.815Z,16.0443,119.4764,21.732,5.1,mb,60,109,6.906,0.83,us,us7000iqwa,2022-11-19T02:38:45.040Z,"32 km WNW of Ilioilio, Philippines",earthquake,9.05,5.293,0.053,114,reviewed,us,us
2022-11-19T00:49:37.808Z,-52.1971,13.7552,10,5.5,mww,52,64,20.461,0.67,us,us7000iqvt,2022-11-20T00:52:57.797Z,"southwest of Africa",earthquake,12.03,1.873,0.083,14,reviewed,us,us
2022-11-18T17:27:37.149Z,23.4595,102.2439,14.861,4.9,mb,127,33,2.623,0.52,us,us7000iqt1,2022-11-19T15:50:23.040Z,"93 km W of Gejiu, China",earthquake,6.85,4.012,0.043,171,reviewed,us,us
2022-11-18T15:42:45.347Z,43.373,-126.6204,10,4.5,mb,52,76,1.907,0.77,us,us7000iqsk,2022-11-19T16:20:10.686Z,"181 km W of Bandon, Oregon",earthquake,4.14,1.914,0.07,59,reviewed,us,us
2022-11-18T14:07:00.364Z,-4.6325,100.5504,10,5.4,mb,49,107,2.413,0.49,us,us7000iqqs,2022-11-19T14:10:20.160Z,"211 km WSW of Bengkulu, Indonesia",earthquake,6.92,1.883,0.1,34,reviewed,us,us
2022-11-18T13:37:08.719Z,-4.8915,100.8032,25,6.9,mww,90,43,2.209,0.57,us,us7000iqpn,2022-11-21T06:45:33.781Z,"202 km SW of Bengkulu, Indonesia",earthquake,6.98,1.878,0.05,39,reviewed,us,us
2022-11-18T13:23:57.284Z,29.6401,102.0244,10,4.7,mb,60,68,8.452,0.49,us,us7000iqpk,2022-11-18T13:40:13.040Z,"40 km S of Kangding, China",earthquake,3.04,1.869,0.076,52,reviewed,us,us
2022-11-18T12:03:25.003Z,-13.16,166.6118,35,4.6,mb,55,94,7.509,0.46,us,us7000iqpr,2022-11-19T08:23:58.040Z,"128 km NW of Sola, Vanuatu",earthquake,10.25,1.917,0.077,50,reviewed,us,us
2022-11-18T11:41:29.079Z,-22.0562,170.2289,10,5,mb,38,119,2.635,0.71,us,us7000iqnk,2022-11-18T11:59:46.040Z,"249 km ESE of Tadine, New Caledonia",earthquake,9.09,1.845,0.095,35,reviewed,us,us
2022-11-18T08:33:27.933Z,53.1513,159.7361,62.204,5,mb,107,104,0.668,0.65,us,us7000iqms,2022-11-18T08:51:23.040Z,"74 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,8.51,6.45,0.036,239,reviewed,us,us
2022-11-18T06:37:04.377Z,-29.7459,-177.5753,39.554,5.1,mww,70,60,0.568,1.35,us,us7000iqm6,2022-11-19T17:02:12.040Z,"Kermadec Islands, New Zealand",earthquake,7.91,5.045,0.093,11,reviewed,us,us
2022-11-18T03:59:57.125Z,-11.4669,166.3267,77.867,4.5,mb,30,62,4.047,0.76,us,us7000iqlk,2022-11-18T04:16:16.040Z,"100 km SE of Lata, Solomon Islands",earthquake,11.01,7.615,0.11,27,reviewed,us,us
2022-11-18T02:44:16.456Z,-32.8528,-178.7293,10,4.6,mb,15,160,3.646,0.76,us,us7000iql7,2022-11-18T03:09:44.040Z,"south of the Kermadec Islands",earthquake,7.68,1.889,0.182,10,reviewed,us,us
2022-11-18T00:03:09.624Z,61.3718,-150.1529,45.9,4.9,ml,,,,0.6,ak,ak022esj2eua,2022-11-21T08:32:02.655Z,"9 km W of Point MacKenzie, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-11-17T17:43:08.211Z,13.5182,-91.7959,35,4.6,mb,65,148,1.613,0.53,us,us7000iqig,2022-11-17T22:00:01.705Z,"86 km S of Champerico, Guatemala",earthquake,8.43,1.95,0.05,120,reviewed,us,us
2022-11-17T17:35:20.431Z,38.199,141.7843,65.355,4.6,mb,75,115,2.646,0.66,us,us7000iqie,2022-11-17T21:57:56.687Z,"48 km ESE of Ishinomaki, Japan",earthquake,7.73,4.617,0.06,83,reviewed,us,us
2022-11-17T15:41:19.798Z,-5.1006,134.051,34.948,4.9,mb,98,36,2.815,0.62,us,us7000iqgl,2022-11-17T19:35:49.040Z,"Kepulauan Aru region, Indonesia",earthquake,7.08,3.729,0.057,101,reviewed,us,us
2022-11-17T13:59:32.395Z,26.9701,55.2311,10,5.2,mb,87,55,2.198,0.57,us,us7000iqen,2022-11-17T17:02:55.032Z,"57 km NE of Bandar-e Lengeh, Iran",earthquake,8.01,1.849,0.043,181,reviewed,us,us
2022-11-17T12:43:29.639Z,35.6108,140.1694,66.514,4.5,mb,46,131,1.84,0.58,us,us7000iqed,2022-11-18T12:20:20.717Z,"near the east coast of Honshu, Japan",earthquake,3.64,7.015,0.059,84,reviewed,us,us
2022-11-17T12:36:35.546Z,-19.4153,-176.8419,320.181,4.7,mb,50,48,2.326,0.98,us,us7000iqeb,2022-11-17T12:52:49.040Z,"Fiji region",earthquake,8.33,5.47,0.073,57,reviewed,us,us
2022-11-17T11:48:26.500Z,19.037,-67.2915,4,5,ml,26,217,0.5974,0.33,pr,pr2022321001,2022-11-21T02:26:19.276Z,"63 km NNW of San Antonio, Puerto Rico",earthquake,1.13,1.06,0.07,15,reviewed,pr,pr
2022-11-17T11:21:34.527Z,-22.3374,170.2046,47.031,5.4,mww,60,78,2.566,0.98,us,us7000iqdn,2022-11-18T11:24:54.720Z,"255 km ESE of Tadine, New Caledonia",earthquake,6.08,6.731,0.083,14,reviewed,us,us
2022-11-17T11:17:52.263Z,-24.4144,-176.6206,178.299,4.8,mb,30,162,3.484,0.52,us,us7000iqdm,2022-11-17T11:50:12.040Z,"south of the Fiji Islands",earthquake,11.28,10.703,0.103,29,reviewed,us,us
2022-11-17T08:00:23.467Z,1.5595,126.1613,53.259,4.5,mb,39,93,1.437,0.63,us,us7000iqcr,2022-11-17T09:02:26.040Z,"Molucca Sea",earthquake,7.59,8.501,0.106,27,reviewed,us,us
2022-11-17T06:31:54.494Z,-5.1538,153.8011,73.344,5.1,mww,67,47,1.891,0.97,us,us7000iqc8,2022-11-17T07:13:24.040Z,"192 km ESE of Kokopo, Papua New Guinea",earthquake,8.44,6.608,0.071,19,reviewed,us,us
